time,distance
0.005,36
0.01,36
0.015,36
0.02,42
0.025,42
0.03,42
0.035,48
0.04,48
0.045,48
0.05,54
0.055,54
0.06,54
0.065,54
0.07,60
0.075,54
0.08,60
0.085,60
0.09,60
0.095,66
0.1,66
0.105,66
0.11,72
0.115,72
0.12,66
0.125,72
0.13,72
0.135,72
0.14,72
0.145,84
0.15,78
0.155,78
0.16,78
0.165,78
0.17,84
0.17500000000000002,84
0.18,84
0.185,90
0.19,90
0.195,90
0.2,90
0.20500000000000002,96
0.21,96
0.215,96
0.22,102
0.225,102
0.23,102
0.23500000000000001,102
0.24,108
0.245,108
0.25,102
0.255,114
0.26,114
0.265,114
0.27,114
0.275,120
0.28,120
0.28500000000000003,120
0.29,126
0.295,126
0.3,126
0.305,126
0.31,132
0.315,126
0.32,132
0.325,138
0.33,138
0.335,132
0.34,132
0.34500000000000003,138
0.35000000000000003,138
0.355,144
0.36,144
0.365,150
0.37,144
0.375,150
0.38,150
0.385,144
0.39,150
0.395,150
0.4,156
0.405,156
0.41000000000000003,162
0.41500000000000004,156
0.42,156
0.425,162
0.43,162
0.435,168
0.44,168
0.445,168
0.45,168
0.455,174
0.46,174
0.465,168
0.47000000000000003,180
0.47500000000000003,174
0.48,186
0.485,180
0.49,174
0.495,186
0.5,186
0.505,186
0.51,192
0.515,192
0.52,192
0.525,198
0.53,198
0.535,192
0.54,198
0.545,198
0.55,198
0.555,204
0.56,198
0.5650000000000001,204
0.5700000000000001,204
0.5750000000000001,210
0.58,204
0.585,204
0.59,210
0.595,216
0.6,210
0.605,216
0.61,216
0.615,216
0.62,222
0.625,222
0.63,222
0.635,228
0.64,228
0.645,228
0.65,228
0.655,234
0.66,234
0.665,234
0.67,234
0.675,234
0.68,240
0.685,234
0.6900000000000001,246
0.6950000000000001,240
0.7000000000000001,252
0.705,246
0.71,246
0.715,246
0.72,252
0.725,252
0.73,252
0.735,258
0.74,252
0.745,252
0.75,258
0.755,258
0.76,264
0.765,264
0.77,264
0.775,264
0.78,264
0.785,270
0.79,270
0.795,276
0.8,276
0.805,282
0.81,276
0.8150000000000001,276
0.8200000000000001,282
0.8250000000000001,288
0.8300000000000001,294
0.835,282
0.84,288
0.845,288
0.85,288
0.855,294
0.86,294
0.865,300
0.87,300
0.875,294
0.88,300
0.885,300
0.89,300
0.895,300
0.9,306
0.905,306
0.91,312
0.915,312
0.92,312
0.925,312
0.93,312
0.935,318
0.9400000000000001,318
0.9450000000000001,318
0.9500000000000001,318
0.9550000000000001,318
0.96,324
0.965,324
0.97,318
0.975,324
0.98,324
0.985,330
0.99,336
0.995,336
1.0,330
